WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,RelativeHumidity,WindDirection,MeanSeaLevelPressure,WindSpeed,DewPoint,Rainfall24Hr,AirTemperature,MaximumTemperature,Rainfall,LandVisibility,VaporPressure,StationPressure
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,09-12-2019,19:00:00,85,000,1009.49,0.0,25.1,7.20,28.0,32.5,0.00,8.00,31.95,1006.72
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,09-12-2019,19:00:00,56,300,1010.88,7.4,20.2,0.00,30.0,33.5,0.00,10.00,23.60,1010.10
48501,TRAD,ตราด,ตราด,11.76667,102.88333,09-12-2019,19:00:00,79,290,1009.58,3.7,25.0,0.00,29.0,32.8,0.00,8.00,31.69,1009.12
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,09-12-2019,19:00:00,68,300,1010.60,9.3,23.0,0.00,29.6,34.1,0.00,8.00,28.15,1009.92
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,09-12-2019,19:00:00,68,000,1010.62,0.0,22.3,0.00,28.8,34.2,0.00,8.00,26.93,1009.10
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,09-12-2019,19:00:00,72,350,1011.60,3.7,23.5,0.00,29.0,32.5,0.00,10.00,28.91,1010.68
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,09-12-2019,19:00:00,83,000,1010.96,0.0,25.5,0.00,28.8,32.0,0.00,10.00,32.71,1010.27
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,09-12-2019,19:00:00,90,000,1010.98,0.0,24.8,0.60,26.5,34.8,0.60,10.00,31.24,1010.17
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,09-12-2019,19:00:00,81,210,1011.12,7.4,22.9,0.00,26.4,34.0,0.00,10.00,27.85,1010.48
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,09-12-2019,19:00:00,87,320,1011.57,7.4,22.6,0.30,24.8,33.8,0.30,8.00,27.36,1011.16
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,09-12-2019,19:00:00,83,000,1012.82,0.0,24.8,0.00,28.0,33.2,0.00,6.00,31.39,1008.60
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,09-12-2019,19:00:00,88,000,1010.92,0.0,23.3,0.30,25.5,34.4,0.00,12.00,28.59,1009.30
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,09-12-2019,19:00:00,94,000,1011.15,0.0,24.0,42.50,25.0,35.0,42.50,5.00,29.79,1007.64
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,09-12-2019,19:00:00,89,000,1011.01,0.0,23.8,3.30,25.8,33.2,3.30,7.00,29.39,1009.65
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,09-12-2019,19:00:00,78,000,1010.98,0.0,24.4,0.00,28.7,31.7,0.00,10.00,30.54,1010.09
