WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,AirTemperature,Rainfall24Hr,MinimumTemperature,LandVisibility,WindDirection,DewPoint,StationPressure,WindSpeed,VaporPressure,Rainfall,MeanSeaLevelPressure
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,99,10-05-2019,07:00:00,23.9,2.30,22.9,10.00,000,23.7,1005.39,0.0,29.38,0.00,1011.27
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,98,10-05-2019,07:00:00,23.2,0.20,23.0,6.00,000,22.9,1004.92,0.0,27.91,0.00,1011.21
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,91,10-05-2019,07:00:00,23.8,0.00,23.2,8.00,000,22.1,995.12,0.0,26.67,0.00,1011.81
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,91,10-05-2019,07:00:00,22.5,0.30,21.5,10.00,000,21.0,986.88,0.0,24.80,0.00,1009.59
48376,TAK,ตาก,ตาก,16.87833,99.14333,94,10-05-2019,07:00:00,23.0,41.40,22.3,5.00,000,21.9,997.80,0.0,26.33,0.00,1012.46
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,95,10-05-2019,07:00:00,22.0,26.70,21.5,8.00,000,21.1,995.26,0.0,24.98,0.00,1012.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,91,10-05-2019,07:00:00,24.0,2.30,23.3,6.00,330,22.5,1005.89,7.4,27.25,0.00,1011.19
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,91,10-05-2019,07:00:00,24.6,0.00,24.0,10.00,000,23.0,996.35,0.0,28.03,0.00,1009.69
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,98,10-05-2019,07:00:00,23.5,60.80,23.0,10.00,000,23.2,1002.39,0.0,28.42,0.00,1011.86
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,98,10-05-2019,07:00:00,23.7,6.00,23.0,4.00,000,23.4,989.81,0.0,28.77,0.00,1011.84
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,91,10-05-2019,07:00:00,24.5,0.00,24.0,8.00,000,23.0,993.27,0.0,28.11,0.00,1010.98
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,86,10-05-2019,07:00:00,24.5,0.00,23.8,10.00,120,21.9,995.81,3.7,26.34,0.00,1011.85
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,99,10-05-2019,07:00:00,23.8,40.10,22.6,5.00,360,23.6,991.75,1.9,29.20,0.00,1010.90
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,91,10-05-2019,07:00:00,22.0,0.00,21.0,6.00,000,20.5,960.87,0.0,24.03,0.00,1013.01
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,94,10-05-2019,07:00:00,24.8,0.20,23.7,2.00,000,23.8,1006.88,0.0,29.42,0.00,1010.88
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,96,10-05-2019,07:00:00,18.1,17.00,17.7,8.00,000,17.4,915.51,0.0,19.91,0.00,1012.13
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,96,10-05-2019,07:00:00,24.2,8.10,23.2,7.00,000,23.5,995.77,0.0,28.88,0.00,1011.98
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,94,10-05-2019,07:00:00,24.9,0.30,24.3,7.00,000,23.9,1006.68,0.0,29.61,0.00,1010.76
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,93,10-05-2019,07:00:00,25.2,0.10,24.5,5.00,000,24.0,1000.52,0.0,29.89,0.00,1011.31
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,92,10-05-2019,07:00:00,26.0,0.00,25.7,9.00,000,24.6,1008.95,0.0,30.84,0.00,1010.90
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,85,10-05-2019,07:00:00,24.8,0.00,24.0,7.00,000,22.1,989.88,0.0,26.60,0.00,1010.97
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,97,10-05-2019,07:00:00,24.4,0.00,23.5,6.00,070,23.8,993.91,3.7,29.49,0.00,1011.80
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,98,10-05-2019,07:00:00,24.5,0.00,24.2,8.00,090,24.2,995.32,5.6,30.20,0.00,1011.68
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,92,10-05-2019,07:00:00,23.9,3.30,22.7,10.00,150,22.6,998.15,5.6,27.34,0.00,1012.40
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,96,10-05-2019,07:00:00,23.5,8.00,22.0,7.00,000,22.8,997.67,0.0,27.66,0.00,1012.76
