WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,MaximumTemperature,VaporPressure,LandVisibility,WindDirection,StationPressure,MeanSeaLevelPressure,WindSpeed,DewPoint,Rainfall24Hr,Rainfall,AirTemperature,RelativeHumidity
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,08-13-2019,19:00:00,34.0,31.72,10.00,000,1009.60,1010.04,0.0,25.0,0.00,0.00,30.0,75
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,08-13-2019,19:00:00,32.4,31.68,10.00,000,1008.00,1008.99,0.0,25.0,30.60,0.00,29.7,76
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,08-13-2019,19:00:00,32.3,31.40,10.00,290,1008.61,1009.42,14.8,24.9,0.00,0.00,29.7,75
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,08-13-2019,19:00:00,34.6,31.31,12.00,000,1007.04,1008.84,0.0,24.8,0.00,0.00,30.5,72
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,08-13-2019,19:00:00,33.6,31.93,10.00,100,1008.16,1008.90,1.9,25.1,0.01,0.01,30.1,75
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,08-13-2019,19:00:00,35.4,30.16,10.00,090,1005.36,1009.37,9.3,24.2,0.01,0.01,26.5,87
48570,SATUN,สตูล,สตูล,6.65000,100.08333,08-13-2019,19:00:00,33.9,31.80,10.00,000,1008.12,1008.80,0.0,25.1,0.00,0.00,29.9,75
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,08-13-2019,19:00:00,35.0,29.33,10.00,000,1007.65,1008.76,0.0,23.7,0.00,0.00,29.5,71
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,08-13-2019,19:00:00,35.0,33.40,10.00,180,1006.30,1009.18,3.7,25.9,0.00,0.00,31.5,72
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,08-13-2019,19:00:00,35.3,36.80,8.00,000,1008.08,1008.76,0.0,27.5,0.00,0.00,30.3,85
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,08-13-2019,19:00:00,35.5,30.36,6.00,000,1005.54,1009.70,0.0,24.3,38.40,38.40,25.6,93
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,08-13-2019,19:00:00,33.1,28.06,10.00,130,1008.78,1009.36,5.6,23.0,0.00,0.00,30.7,64
