WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,DewPoint,MeanSeaLevelPressure,WindDirection,VaporPressure,StationPressure,WindSpeed,Rainfall,RelativeHumidity,Rainfall24Hr,AirTemperature
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,12.00,08-06-2019,13:00:00,24.4,1003.91,230,30.63,986.88,14.8,0.00,56,0.00,34.5
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,12.00,08-06-2019,13:00:00,25.1,1003.39,290,31.93,987.85,3.7,0.00,69,49.50,31.5
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,10.00,08-06-2019,13:00:00,22.4,1003.15,270,27.01,984.76,1.9,0.00,51,0.40,34.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,9.00,08-06-2019,13:00:00,24.5,1007.46,000,30.67,956.30,0.0,0.50,90,21.90,26.2
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,7.00,08-06-2019,13:00:00,25.0,1005.26,150,31.72,1001.37,5.6,0.00,69,0.20,31.4
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,6.00,08-06-2019,13:00:00,21.0,1005.76,210,24.80,911.09,13.0,0.80,91,26.90,22.5
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,8.00,08-06-2019,13:00:00,24.8,1004.34,000,31.35,988.63,0.0,0.00,68,2.50,31.5
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,10.00,08-06-2019,13:00:00,25.6,1005.11,210,32.86,1001.15,3.7,0.00,70,2.90,31.8
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,10.00,08-06-2019,13:00:00,23.6,1006.39,000,29.07,995.88,0.0,0.00,63,0.00,31.5
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,10.00,08-06-2019,13:00:00,23.5,1005.69,000,28.91,1003.79,0.0,0.00,62,1.10,31.7
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,10.00,08-06-2019,13:00:00,21.6,1004.00,240,25.80,983.72,20.4,0.00,46,0.00,34.8
