WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,DewPoint,StationPressure,AirTemperature,VaporPressure,LandVisibility,WindDirection,Rainfall24Hr,RelativeHumidity,Rainfall,MeanSeaLevelPressure
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,5.6,10-03-2019,10:00:00,24.5,982.37,29.5,30.72,12.00,210,0.00,75,0.00,1012.10
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,10-03-2019,10:00:00,24.8,976.66,30.6,31.23,8.00,000,0.00,71,0.00,1011.82
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,7.4,10-03-2019,10:00:00,24.6,981.72,30.9,30.98,6.00,330,0.00,69,0.00,1011.11
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.0,10-03-2019,10:00:00,25.4,1004.52,31.2,32.47,8.00,000,0.00,71,0.00,1011.75
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,5.6,10-03-2019,10:00:00,24.9,991.80,32.0,31.52,6.00,150,0.00,66,0.00,1011.45
48353,LOEI,เลย,เลย,17.45000,101.73333,3.7,10-03-2019,10:00:00,23.0,983.15,31.0,28.09,5.00,260,0.00,63,0.00,1011.52
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,3.7,10-03-2019,10:00:00,24.0,991.62,32.0,29.79,8.00,140,0.00,63,0.00,1011.54
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,3.7,10-03-2019,10:00:00,24.7,991.06,32.1,31.15,7.00,150,0.00,65,0.00,1012.53
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,9.3,10-03-2019,10:00:00,23.3,992.39,32.0,28.66,9.00,100,0.00,60,0.00,1011.64
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1.9,10-03-2019,10:00:00,21.7,995.69,32.0,25.91,8.00,060,0.00,54,0.00,1012.24
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,3.7,10-03-2019,10:00:00,23.7,995.17,33.0,29.25,9.00,120,0.00,58,0.00,1012.32
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.0,10-03-2019,10:00:00,25.6,985.57,31.1,32.84,9.00,000,0.00,73,0.00,1011.09
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,3.7,10-03-2019,10:00:00,26.8,1005.86,31.0,35.31,6.00,210,0.00,79,0.00,1011.60
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,9.3,10-03-2019,10:00:00,26.4,1005.52,31.0,34.41,7.00,140,0.00,77,0.00,1011.66
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.0,10-03-2019,10:00:00,24.0,996.52,30.6,29.81,9.00,000,0.00,68,0.00,1012.85
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,5.6,10-03-2019,10:00:00,23.4,988.57,29.5,28.78,10.00,060,0.00,70,0.00,1010.79
48376,TAK,ตาก,ตาก,16.87833,99.14333,3.7,10-03-2019,10:00:00,24.6,997.58,30.6,30.94,10.00,150,0.00,70,0.00,1011.86
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.0,10-03-2019,10:00:00,24.5,995.69,32.2,30.77,8.00,000,0.00,64,0.00,1011.87
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,5.6,10-03-2019,10:00:00,25.4,1006.52,31.0,32.34,8.00,140,0.00,72,0.00,1011.70
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.0,10-03-2019,10:00:00,24.6,997.74,31.0,30.90,10.00,000,0.00,69,0.00,1010.81
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,3.7,10-03-2019,10:00:00,24.6,1002.35,31.4,30.86,10.00,250,0.00,67,0.00,1011.58
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,5.6,10-03-2019,10:00:00,24.5,990.10,31.6,30.69,6.00,180,0.00,66,0.00,1011.55
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,9.3,10-03-2019,10:00:00,25.8,994.28,32.5,33.17,8.00,120,0.00,68,0.00,1011.54
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,3.7,10-03-2019,10:00:00,24.9,995.77,32.0,31.52,12.00,120,0.00,66,0.00,1011.41
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.0,10-03-2019,10:00:00,25.3,992.07,31.5,32.22,8.00,000,0.00,70,0.00,1010.75
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.0,10-03-2019,10:00:00,21.8,961.51,27.0,26.06,11.00,000,0.00,73,0.00,1012.81
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,13.0,10-03-2019,10:00:00,26.3,1007.58,30.5,34.22,3.00,140,0.00,78,0.00,1011.51
