WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,RelativeHumidity,WindDirection,DewPoint,MeanSeaLevelPressure,WindSpeed,VaporPressure,LandVisibility,StationPressure,Rainfall,Rainfall24Hr
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,27.2,07-10-2019,22:00:00,85,000,24.5,1008.84,0.0,30.67,10.00,1003.60,0.00,0.01
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,28.3,07-10-2019,22:00:00,82,000,24.9,1007.38,0.0,31.42,10.00,994.23,0.00,3.10
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,28.0,07-10-2019,22:00:00,79,000,23.9,1008.59,0.0,29.74,11.00,999.29,0.00,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,28.3,07-10-2019,22:00:00,73,240,23.0,1008.46,7.4,28.14,10.00,986.84,0.00,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,28.0,07-10-2019,22:00:00,81,000,24.4,1007.97,0.0,30.56,12.00,990.51,0.00,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,27.6,07-10-2019,22:00:00,80,210,23.8,1007.83,3.7,29.52,10.00,992.02,0.00,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,29.5,07-10-2019,22:00:00,68,000,23.1,1007.12,0.0,28.23,10.00,988.40,0.00,1.80
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,24.3,07-10-2019,22:00:00,86,000,21.9,1010.22,0.0,26.26,6.00,958.60,0.00,0.60
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,28.2,07-10-2019,22:00:00,80,230,24.5,1008.52,7.4,30.67,7.00,1004.58,0.00,2.10
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,20.6,07-10-2019,22:00:00,91,210,19.0,1010.14,27.8,21.97,4.00,914.48,0.00,6.20
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,27.2,07-10-2019,22:00:00,91,000,25.6,1008.50,0.0,32.89,8.00,992.50,0.00,1.60
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,28.1,07-10-2019,22:00:00,73,000,22.8,1009.19,0.0,27.77,10.00,1005.16,0.00,0.01
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,28.5,07-10-2019,22:00:00,75,000,23.7,1010.26,0.0,29.33,7.00,999.61,0.00,0.00
