WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,DewPoint,AirTemperature,VaporPressure,WindDirection,MeanSeaLevelPressure,LandVisibility,Rainfall24Hr,Rainfall,WindSpeed,MaximumTemperature,StationPressure
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,53,07-12-2019,19:00:00,21.6,32.4,25.85,300,1006.29,12.00,0.00,0.00,7.4,35.8,997.14
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,54,07-12-2019,19:00:00,22.7,33.3,27.59,330,1004.64,10.00,0.00,0.00,7.4,37.3,983.45
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,63,07-12-2019,19:00:00,24.1,32.0,30.08,000,1005.28,10.00,0.00,0.00,0.0,37.6,988.09
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,72,07-12-2019,19:00:00,25.0,30.5,31.60,210,1005.39,11.00,0.00,0.00,3.7,36.6,989.77
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,65,07-12-2019,19:00:00,25.9,33.3,33.41,000,1003.96,10.00,0.00,0.00,0.0,37.9,985.52
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,73,07-12-2019,19:00:00,21.8,27.0,26.06,000,1007.05,10.00,0.70,0.00,0.0,31.0,956.04
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,68,07-12-2019,19:00:00,25.9,32.5,33.47,200,1005.81,9.00,0.00,0.00,3.7,35.5,1001.92
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,88,07-12-2019,19:00:00,20.7,22.9,24.48,240,1008.60,6.00,0.90,0.00,24.1,26.1,913.78
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,68,07-12-2019,19:00:00,25.2,32.0,32.10,000,1005.08,10.00,0.00,0.00,0.0,38.2,989.38
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,73,07-12-2019,19:00:00,27.5,33.0,36.74,000,1006.11,10.00,0.01,0.01,0.0,36.2,1002.16
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,61,07-12-2019,19:00:00,23.8,32.4,29.46,000,1007.19,8.00,0.00,0.00,0.0,36.1,996.70
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,67,07-12-2019,19:00:00,25.5,32.5,32.58,210,1006.85,9.00,0.00,0.00,3.7,35.8,1004.96
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,54,07-12-2019,19:00:00,22.6,33.1,27.47,000,1005.41,10.00,0.00,0.00,0.0,38.2,984.99
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,71,07-12-2019,19:00:00,24.3,30.0,30.31,160,1005.10,10.00,0.10,0.00,1.9,35.7,987.65
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,63,07-12-2019,19:00:00,23.9,31.8,29.67,120,1004.94,10.00,0.00,0.00,5.6,36.2,989.07
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,51,07-12-2019,19:00:00,22.5,34.0,27.29,180,1005.92,10.00,0.00,0.00,3.7,36.4,992.22
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,67,07-12-2019,19:00:00,25.5,32.5,32.58,000,1006.90,10.00,0.00,0.00,0.0,36.0,992.34
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,63,07-12-2019,19:00:00,25.2,33.1,32.08,000,1006.79,10.00,0.00,0.00,0.0,36.3,992.42
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,58,07-12-2019,19:00:00,24.2,33.6,30.20,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1006.36,10.00,0.00,0.00,0.0,36.5,1003.41
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,64,07-12-2019,19:00:00,24.7,32.5,31.11,000,1005.90,10.00,0.00,0.00,0.0,35.8,998.10
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,64,07-12-2019,19:00:00,24.5,32.0,30.65,160,1006.80,10.00,0.00,0.00,7.4,36.0,1005.71
