WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,LandVisibility,MeanSeaLevelPressure,Rainfall24Hr,VaporPressure,RelativeHumidity,StationPressure,Rainfall,DewPoint,MinimumTemperature,WindDirection,AirTemperature
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,3.7,09-14-2019,07:00:00,8.00,1007.79,24.90,30.32,96,989.99,0.00,24.3,22.9,310,25.0
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.0,09-14-2019,07:00:00,10.00,1007.83,24.60,30.58,97,991.55,0.00,24.4,24.0,000,25.0
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.0,09-14-2019,07:00:00,10.00,1008.09,6.10,31.11,93,994.00,0.00,24.7,24.9,000,26.0
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.0,09-14-2019,07:00:00,9.00,1008.48,2.20,30.85,97,993.53,0.00,24.6,24.3,000,25.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,7.4,09-14-2019,07:00:00,8.00,1008.16,0.00,31.55,95,993.42,0.00,24.9,24.0,210,25.8
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.0,09-14-2019,07:00:00,10.00,1007.75,0.10,32.04,94,1004.72,0.01,25.2,25.6,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",26.2
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.0,09-14-2019,07:00:00,10.00,1007.48,8.10,30.87,96,999.48,5.50,24.6,24.8,000,25.3
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.0,09-14-2019,07:00:00,8.00,1007.52,1.60,32.89,91,1006.41,0.00,25.6,25.7,000,27.2
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.0,09-14-2019,07:00:00,8.00,1008.04,8.50,27.70,88,993.24,0.00,22.8,24.0,000,25.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.0,09-14-2019,07:00:00,5.00,1008.65,0.00,23.28,99,873.70,0.00,19.9,19.1,000,20.1
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.0,09-14-2019,07:00:00,7.00,1008.09,12.20,31.04,97,1002.16,0.00,24.7,24.2,000,25.1
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,3.7,09-14-2019,07:00:00,8.00,1008.21,1.50,31.79,92,1007.40,0.00,25.1,26.0,240,26.5
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,3.7,09-14-2019,07:00:00,10.00,1007.85,5.10,28.47,82,1007.40,0.10,23.2,26.4,230,26.6
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.0,09-14-2019,07:00:00,4.00,1009.44,7.30,29.41,96,998.01,0.00,23.8,23.8,000,24.5
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.0,09-14-2019,07:00:00,10.00,1008.21,0.20,32.07,93,1007.19,0.20,25.2,25.7,000,26.5
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,3.7,09-14-2019,07:00:00,7.00,1007.99,23.40,31.25,96,1006.16,0.20,24.8,25.0,180,25.5
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.0,09-14-2019,07:00:00,8.00,1007.93,9.00,31.00,93,1007.16,0.00,24.6,25.3,000,25.8
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,9.3,09-14-2019,07:00:00,8.00,1008.18,15.00,28.34,85,1007.47,0.20,23.2,25.5,300,25.8
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.0,09-14-2019,07:00:00,7.00,1007.73,0.70,31.82,90,1007.02,0.00,25.1,26.2,000,26.8
