WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,LandVisibility,Rainfall24Hr,WindSpeed,WindDirection,Rainfall,RelativeHumidity,DewPoint,StationPressure,AirTemperature,VaporPressure
48331,NAN,น่าน,น่าน,18.77972,100.77778,1004.35,08-11-2019,22:00:00,10.00,17.00,0.0,000,0.00,95,25.1,981.56,26.0,31.93
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1004.60,08-11-2019,22:00:00,8.00,15.40,0.0,000,0.30,95,25.1,974.76,26.0,31.93
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1004.45,08-11-2019,22:00:00,6.00,6.00,0.0,000,0.00,92,24.8,969.04,26.2,31.22
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1004.05,08-11-2019,22:00:00,3.00,23.00,9.3,300,12.20,97,24.9,974.33,25.3,31.41
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1004.11,08-11-2019,22:00:00,7.00,1.90,0.0,000,0.00,84,25.5,996.87,28.5,32.67
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1004.99,08-11-2019,22:00:00,6.00,95.70,0.0,000,12.00,98,24.7,985.01,25.0,31.12
48353,LOEI,เลย,เลย,17.45000,101.73333,1004.56,08-11-2019,22:00:00,7.00,42.10,7.4,250,5.40,94,25.0,975.92,26.0,31.65
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1004.91,08-11-2019,22:00:00,8.00,49.10,0.0,000,43.00,98,25.9,984.75,26.3,33.35
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1005.84,08-11-2019,22:00:00,12.00,29.00,7.4,170,0.00,80,24.4,984.24,28.1,30.48
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1004.77,08-11-2019,22:00:00,10.00,4.90,3.7,180,0.00,84,25.1,985.41,28.1,31.87
