WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,RelativeHumidity,DewPoint,MeanSeaLevelPressure,WindSpeed,VaporPressure,Rainfall,WindDirection,Rainfall24Hr,LandVisibility,AirTemperature
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1003.20,08-01-2019,10:00:00,61,22.4,1006.18,0.0,27.16,0.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.20,10.00,30.8
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,998.62,08-01-2019,10:00:00,75,23.9,1006.52,0.0,29.71,0.00,000,3.60,10.00,28.7
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1007.13,08-01-2019,10:00:00,60,21.8,1008.23,22.2,26.15,0.00,230,0.00,8.00,30.4
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,989.42,08-01-2019,10:00:00,85,25.0,1004.02,1.9,31.75,0.00,100,15.10,9.00,27.9
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,873.60,08-01-2019,10:00:00,98,18.4,1009.22,5.6,21.11,0.00,250,18.80,.10,18.7
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1000.87,08-01-2019,10:00:00,72,23.9,1006.70,13.0,29.60,0.00,230,5.90,10.00,29.5
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1006.91,08-01-2019,10:00:00,60,22.8,1007.70,9.3,27.68,0.00,240,0.00,10.00,31.5
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1007.62,08-01-2019,10:00:00,65,23.2,1008.06,18.5,28.50,0.00,230,0.00,10.00,30.5
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,997.38,08-01-2019,10:00:00,94,24.4,1008.76,0.0,30.52,2.00,000,16.70,4.00,25.4
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1006.66,08-01-2019,10:00:00,65,22.5,1007.66,9.3,27.17,0.00,190,0.00,12.00,29.8
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1005.77,08-01-2019,10:00:00,65,21.9,1007.58,7.4,26.34,0.00,190,0.20,8.00,29.2
