WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,RelativeHumidity,StationPressure,MaximumTemperature,AirTemperature,VaporPressure,Rainfall,MeanSeaLevelPressure,WindSpeed,WindDirection,DewPoint,Rainfall24Hr
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,10.00,10-05-2019,19:00:00,86,979.35,33.1,26.2,29.33,0.00,1009.14,0.0,000,23.7,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,8.00,10-05-2019,19:00:00,76,1002.30,34.5,27.6,27.92,0.00,1009.60,0.0,000,22.9,0.01
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,6.00,10-05-2019,19:00:00,71,988.76,32.5,30.0,30.31,0.00,1008.47,0.0,000,24.3,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,9.00,10-05-2019,19:00:00,77,981.03,33.2,26.5,26.73,0.00,1009.77,3.7,180,22.2,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,12.00,10-05-2019,19:00:00,73,988.92,32.7,28.8,29.08,0.00,1008.99,0.0,000,23.6,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,9.00,10-05-2019,19:00:00,81,987.14,34.9,28.4,31.34,0.00,1008.79,0.0,000,24.8,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,10.00,10-05-2019,19:00:00,67,989.04,33.0,30.5,29.06,0.00,1008.31,3.7,030,23.6,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,12.00,10-05-2019,19:00:00,78,992.93,33.5,25.8,26.03,1.40,1009.78,0.0,000,21.8,1.40
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,10.00,10-05-2019,19:00:00,84,992.44,33.6,25.4,27.12,4.50,1009.98,0.0,000,22.4,4.50
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,9.00,10-05-2019,19:00:00,85,982.39,32.5,28.0,31.95,0.00,1008.09,0.0,000,25.1,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,10.00,10-05-2019,19:00:00,87,1003.22,32.9,28.2,33.20,0.00,1008.99,3.7,090,25.8,2.30
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,7.00,10-05-2019,19:00:00,79,1003.59,33.0,27.8,29.36,0.00,1009.78,0.0,000,23.7,0.20
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,8.00,10-05-2019,19:00:00,82,993.65,34.0,26.5,28.29,0.00,1010.16,0.0,000,23.1,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,10.00,10-05-2019,19:00:00,73,986.25,32.8,26.2,24.95,0.00,1008.66,3.7,170,21.1,0.00
