WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,LandVisibility,RelativeHumidity,MeanSeaLevelPressure,DewPoint,WindSpeed,AirTemperature,WindDirection,StationPressure,Rainfall24Hr,VaporPressure
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,08-28-2019,13:00:00,10.00,80,1005.41,25.9,0.0,29.7,000,989.59,0.00,33.41
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,08-28-2019,13:00:00,12.00,62,1005.71,25.1,0.0,33.4,000,1001.77,0.00,31.83
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,08-28-2019,13:00:00,10.00,61,1006.37,24.5,0.0,33.0,000,995.91,0.00,30.69
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,08-28-2019,13:00:00,12.00,59,1005.90,23.7,5.6,32.9,320,1004.01,0.00,29.33
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,08-28-2019,13:00:00,14.00,57,1005.07,23.5,7.4,33.1,240,984.66,0.00,28.88
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,08-28-2019,13:00:00,10.00,70,1004.65,25.7,7.4,31.9,200,987.31,0.00,33.07
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,08-28-2019,13:00:00,10.00,63,1004.37,24.4,5.6,32.2,260,988.53,0.10,30.48
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,08-28-2019,13:00:00,10.00,74,1005.43,24.9,9.3,30.0,320,991.56,3.20,31.44
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,08-28-2019,13:00:00,10.00,75,1005.17,25.6,0.0,30.5,000,990.54,0.40,32.75
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,08-28-2019,13:00:00,10.00,73,1006.01,25.7,0.0,31.0,000,991.54,0.60,32.93
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,08-28-2019,13:00:00,10.00,60,1005.73,24.4,0.0,33.2,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",1002.77,7.00,30.53
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,08-28-2019,13:00:00,10.00,61,1005.50,23.4,0.0,31.9,000,997.69,0.00,28.74
