WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,StationPressure,RelativeHumidity,WindSpeed,AirTemperature,LandVisibility,Rainfall24Hr,WindDirection,VaporPressure,DewPoint,MeanSeaLevelPressure,Rainfall
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,09-25-2019,16:00:00,1006.63,57,0.0,33.3,10.00,0.01,000,29.01,23.5,1012.33,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,09-25-2019,16:00:00,1006.46,56,0.0,33.1,10.00,0.00,000,28.32,23.1,1012.56,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,09-25-2019,16:00:00,996.07,36,0.0,34.5,12.00,0.00,000,19.91,17.4,1012.19,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,09-25-2019,16:00:00,987.80,47,14.8,33.1,10.00,0.00,060,23.66,20.2,1009.73,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,09-25-2019,16:00:00,998.96,60,0.0,32.8,6.00,3.00,000,29.70,23.9,1013.16,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,09-25-2019,16:00:00,996.12,55,0.0,32.5,7.00,0.00,000,26.86,22.3,1012.29,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,09-25-2019,16:00:00,1007.19,53,14.8,33.5,10.00,0.00,290,27.43,22.6,1012.34,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,09-25-2019,16:00:00,997.59,41,5.6,34.8,12.00,0.00,310,22.80,19.6,1010.49,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,09-25-2019,16:00:00,1003.20,47,1.9,33.8,10.00,0.00,120,24.97,21.1,1012.36,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,09-25-2019,16:00:00,991.08,52,7.4,32.5,10.00,0.00,060,25.49,21.4,1012.50,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,09-25-2019,16:00:00,995.33,58,14.8,32.5,12.00,0.00,020,28.25,23.1,1012.61,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,09-25-2019,16:00:00,996.89,57,3.7,31.0,12.00,0.00,060,25.65,21.5,1012.60,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,09-25-2019,16:00:00,992.99,57,0.0,33.2,8.00,0.00,000,29.09,23.6,1011.58,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,09-25-2019,16:00:00,961.47,48,0.0,31.6,10.00,0.00,000,22.29,19.2,1011.97,0.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,09-25-2019,16:00:00,1008.16,51,0.0,34.0,6.00,0.00,000,27.01,22.4,1012.05,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,09-25-2019,16:00:00,918.29,71,7.4,25.4,8.00,0.00,060,23.15,19.8,1012.75,0.00
