WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,WindDirection,MaximumTemperature,MeanSeaLevelPressure,StationPressure,LandVisibility,AirTemperature,RelativeHumidity,DewPoint,Rainfall,Rainfall24Hr,VaporPressure
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,5.6,08-10-2019,19:00:00,260,32.8,1005.49,1004.81,10.00,29.6,74,24.4,0.00,0.01,30.63
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,5.6,08-10-2019,19:00:00,250,31.5,1006.05,1005.26,10.00,28.1,79,24.1,0.00,5.70,29.93
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.0,08-10-2019,19:00:00,000,34.0,1005.41,1004.79,10.00,29.6,70,23.5,0.00,2.70,28.97
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,18.5,08-10-2019,19:00:00,210,33.7,1006.38,1005.98,10.00,28.7,75,23.9,0.00,2.10,29.71
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,3.7,08-10-2019,19:00:00,230,32.0,1007.38,1003.18,5.00,27.5,81,23.9,0.01,0.10,29.60
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.0,08-10-2019,19:00:00,000,31.2,1006.41,1004.81,8.00,27.1,84,24.1,0.00,10.40,29.93
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.0,08-10-2019,19:00:00,000,31.2,1006.52,1003.06,7.00,28.5,80,24.6,0.00,12.40,30.98
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,5.6,08-10-2019,19:00:00,180,32.0,1006.63,1005.28,10.00,28.0,76,23.3,0.00,2.50,28.65
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,9.3,08-10-2019,19:00:00,250,29.8,1006.30,1005.42,10.00,28.0,81,24.4,0.00,55.70,30.56
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,7.4,08-10-2019,19:00:00,260,30.4,1006.44,1002.89,10.00,27.4,84,24.5,0.00,7.00,30.78
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,9.3,08-10-2019,19:00:00,260,30.7,1006.91,1006.48,10.00,28.4,82,25.0,0.20,5.20,31.62
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,3.7,08-10-2019,19:00:00,240,30.6,1006.13,1005.15,10.00,29.4,75,24.5,0.00,7.50,30.80
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,27.8,08-10-2019,19:00:00,250,29.3,1007.20,1006.39,10.00,28.6,86,26.1,1.80,2.20,33.74
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,16.7,08-10-2019,19:00:00,270,31.0,1007.21,1005.40,7.00,27.7,85,25.0,0.30,11.30,31.64
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,3.7,08-10-2019,19:00:00,220,33.0,1006.86,1006.10,8.00,26.5,86,23.9,1.60,2.40,29.62
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,3.7,08-10-2019,19:00:00,240,31.9,1007.44,1003.41,10.00,24.5,97,23.9,7.20,16.80,29.67
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.0,08-10-2019,19:00:00,000,32.2,1008.86,1008.17,10.00,26.0,92,24.6,1.50,25.90,30.84
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.0,08-10-2019,19:00:00,000,32.7,1007.17,1006.05,7.00,25.8,92,24.3,1.20,3.00,30.46
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.0,08-10-2019,19:00:00,000,32.3,1007.50,1004.56,7.00,25.2,97,24.6,1.90,10.60,30.96
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,9.3,08-10-2019,19:00:00,230,33.6,1006.72,1006.03,2.00,24.6,97,24.2,7.30,37.10,30.12
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,13.0,08-10-2019,19:00:00,240,34.0,1007.92,1003.75,6.00,24.2,97,23.8,1.40,13.30,29.39
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,14.8,08-10-2019,19:00:00,240,35.5,1007.55,1006.96,9.00,26.5,84,23.6,0.20,4.00,29.08
